3600,5459.4156885358,10732.24,2429.99999999998,6.46593889541691e-11,3190.29999999998,2708.59999999998,1.04805053524615e-11,719.999999999981,2.02504679691629e-11,8393.48853606442,5728.09999999996,2853.98354739984,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
7200,4888.59709954676,10732.24,2429.99999999998,6.33672450558188e-11,3190.29999999998,2708.59999999998,1.00364161426114e-11,719.999999999981,1.93622895494627e-11,7644.12843650015,5728.09999999996,2393.66783395315,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
10800,4464.29265219647,10732.24,2429.99999999998,6.18172180111287e-11,3190.29999999998,2708.59999999998,1.03916875104915e-11,719.999999999981,1.95399252334028e-11,7181.78232029597,5728.09999999996,2083.24231750763,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
14400,4371.56911104252,10732.24,2429.99999999998,6.11066752753686e-11,3190.29999999998,2708.59999999998,1.00364161426114e-11,719.999999999981,1.95399252334028e-11,7082.63975661395,5728.09999999996,1902.08757434361,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
18000,4674.53219373393,10732.24,2429.99999999998,6.18172180111287e-11,3190.29999999998,2708.59999999998,1.03916875104915e-11,719.999999999981,1.91846538655227e-11,7527.29691105451,5728.09999999996,2118.17170921163,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
21600,5246.07789832024,10732.24,2429.99999999998,6.3948846218409e-11,3190.29999999998,2708.59999999998,1.11910480882216e-11,719.999999999981,1.88293824976427e-11,8167.83013585021,5728.09999999996,2579.09914382962,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
25200,5518.428302396,10732.24,2429.99999999998,6.3948846218409e-11,3190.29999999998,2708.59999999998,1.11910480882216e-11,719.999999999981,2.00728322852228e-11,8404.13354977148,5728.09999999996,2747.43313383259,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
28800,6170.0430740557,10732.24,2429.99999999998,6.99884594723699e-11,3190.29999999998,2708.59999999998,1.23456800338317e-11,719.999999999981,2.04281036531029e-11,9330.34488931722,5728.09999999996,3442.80312062714,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
32400,7446.36064286181,10732.24,2429.99999999998,7.105427357601e-11,3190.29999999998,2708.59999999998,1.21680443498917e-11,719.999999999979,2.18491891246231e-11,9530.72999999999,5728.09999999996,5516.65818913826,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
36000,9343.34789735234,10732.24,2429.99999999998,1430.0324110286,3190.29999999998,2708.59999999998,1.32338584535319e-11,719.999999999982,2.32702745961433e-11,9530.73,5728.09999999996,6177.61102961919,622.399999999992,0,0,0,0,0,-1.28941573169847e-13
